# Shas are from https://github.com/paulp/legacy-svn-scala-full 
r309 | 45ffe9aa78
r449 | 4bed839e59
r1683 | 7bd4d88483
r2051 | b23c8e0ecc
r2197 | c0d1934836
r3834 | 14d772c56b
r4479 | 6520d1237f
r4681 | d1884e972a
r4683 | 1bc760309d
r5529 | 8fa51577d6
r5535 | a316dfdb36
r5558 | c5a0f08b5e
r5587 | acfdcee6d7
r5643 | 0a61670c04
r5715 | 3eb67c07e1
r5830 | 86d29d352f
r5878 | dc991d50da
r6664 | eb9e4a73f4
r6948 | 0cb34d506c
r6952 | 19c934a4de
r7733 | cf4d26c3d5
r7936 | c91a40fd4a
r8191 | 07b14e5e78
r8532 | cb3a221dc9
r9120 | 0358410b8c
r9127 | 4a99565c4d
r9374 | 81944e8c6f
r9981 | c8a3383d6e
r10088 | b0c5bd3c71
r10521 | df7c409574
r10522 | 2f7e5a7a45
r10523 | 676dccd266
r10661 | 2543f36ad6
r10708 | d24c570712
r10767 | 8f9e7589d1
r10814 | fa8e526415
r10818 | bdafefa11f
r12022 | 1842903cd6
r12333 | ac3b782c26
r13582 | 66e547e5d7
r13616 | 4323db0fe6
r13706 | 0170a864c0
r13713 | 746a6c03d0
r13744 | 3485f71caf
r13988 | f4508f3f91
r14316 | 787260e7a7
r14571 | d0fa3c1d43
r14877 | 37db26c6d7
r14878 | 66e9bab99b
r14928 | 3e741d62de
r15179 | dc53a9887a
r15181 | e2b387e7a5
r15343 | e3b0ad33d7
r15349 | 4f280665c2
r15659 | 306e59ef39
r16569 | 126b7403f8
r16689 | 6a6ab0cbcd
r16690 | 8ea9a17905
r16694 | 70e81644e2
r16695 | fee7bc4772
r16696 | 0537dbe80a
r17089 | 25ca913ffb
r17697 | 47612b688f
r18364 | ec4670e120
r18704 | 973010f034
r18714 | cc69b10717
r18736 | ee4e13af03
r18786 | 60feb7dba9
r18821 | a3ae86b245
r19523 | 59829c478b
r19534 | 8206ded007
r20984 | ec5360d68d
r21215 | 87a8a7b3ed
r21341 | afd1ce73e0
r21419 | 1aedfd0433
r21834 | 0964721434
r21837 | 3e180cbb8a
r21914 | 2b17044a88
r21919 | 0cdc3778f6
r21941 | cfee7f5b4a
r22007 | 97fd29a709
r22048 | 6a22c267d5
r22174 | 48e967ea18
r22180 | b6cdb65735
r22194 | 8d839e950d
r22197 | f288be3a1f
r22248 | bfc7b37042
r22249 | 64363b019a
r22279 | 914b8eb08b
r22281 | d495f6f3cd
r22296 | 164ffdcce3
r22300 | 8b4bb765db
r22316 | 6c59c8c68f
r22356 | f1912c197d
r22359 | 51b5c2a504
r22371 | 767a1147c9
r22372 | f85daa6911
r22373 | 5908717a04
r22375 | 5b73be9a15
r22396 | b5a49161ce
r22409 | f0f5ce5102
r22410 | 46976a50ca
r22417 | 07cb720be3
r22421 | 734023d64f
r22423 | c7f1dbe2d1
r22479 | 4f73f40c49
r22493 | 12f498d4a1
r22532 | 080efc62da
r22534 | 2e62d6991c
r22550 | a03e9494fc
r22580 | a3eb24ff8b
r22599 | c5082d61d8
r22627 | 14e121bc33
r22631 | 5988b2a472
r22652 | 92438a01f5
r22765 | 46a68d025c
r22917 | c0c3a20428
r22952 | 611211e5f8
r23203 | c8ad56f269
r23437 | 63b3d5cee1
r23656 | 2c6625e236
r23715 | dda53a171e
r23869 | 26507816f5
r23978 | b2345752fb
r24033 | 09041c59aa
r24122 | 2bf6b6d6dd
r24246 | a150ac383b
r24376 | 861fda78b5
r24450 | fe95545d68
r24456 | d3456d776b
r24482 | d8311274d1
r24559 | 75c9b12581
r24686 | a7841e490c
r24982 | d4ce3b2c21
r25203 | 029167f940
r25249 | 288a6b856d
r25522 | cacd228c5b
r25929 | 710aba4df0
r26090 | 93e5faca79
